YEAR,FIRE NAME,UNIT,AGENCY,CAUSE,OBJECTIVE,REPORT ACRES,GIS ACRES,COMMENTS
1970,CASCO #2,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"6,234",
1970,FOOTHILL,Ventura County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"4,730",
1970,SAN FRANCISQUITO FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"4,489",
1970,CARNEGIE #3,Santa Clara CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"4,390",
1970,PARKHILL,San Luis Obispo CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"4,351",
1970,FORK FIRE/USFS,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"4,234",
1970,RECHE,Riverside CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"3,864",
1970,NELSON,Orange County,Contract County,Miscellaneous,Suppression (Wildfire),0,"3,586",
1970,FULLERTON FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"3,381",
1970,CAMP GRANT,Humboldt - Del Norte CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"2,970",
1970,,San Bernardino National Forest,USDA Forest Service,Campfire,Suppression (Wildfire),"2,850","2,955",
1970,CLARKS BUTTE,Humboldt - Del Norte CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"2,851",
1970,SHANNON FIRE,Los Angeles County,Contract County,Unknown / Unidentified,Suppression (Wildfire),0,"2,509",
1970,COPPER MTN.,Santa Clara CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"2,500",
1970,LILAC,San Diego CDF,California Department of Forestry and Fire Protection,Miscellaneous,Suppression (Wildfire),0,"2,083",
1970,,San Diego CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,917",
1970,BUCKEYE,Monterey - San Benito CDF,California Department of Forestry and Fire Protection,Unknown / Unidentified,Suppression (Wildfire),0,"1,894",
